k4,deviation,count_zero,N
1000,1935,4435,5000
1011,1935,4435,5000
1001,1904,4404,5000
1010,1904,4404,5000
0000,1888,4388,5000
0011,1888,4388,5000
0001,1868,4368,5000
0010,1868,4368,5000
1100,1865,4365,5000
1111,1865,4365,5000
0100,1861,4361,5000
0111,1861,4361,5000
1101,1858,4358,5000
1110,1858,4358,5000
0101,1821,4321,5000
0110,1821,4321,5000
