index,counter,key
193,-28,0001 0000 0000 1100
194,52,0010 0000 0000 1100
195,46,0011 0000 0000 1100
196,-44,0100 0000 0000 1100
197,-66,0101 0000 0000 1100
198,66,0110 0000 0000 1100
199,44,0111 0000 0000 1100
200,-54,1000 0000 0000 1100
201,-56,1001 0000 0000 1100
202,54,1010 0000 0000 1100
203,56,1011 0000 0000 1100
204,-36,1100 0000 0000 1100
205,-62,1101 0000 0000 1100
206,56,1110 0000 0000 1100
207,42,1111 0000 0000 1100
208,-54,0000 0000 0000 1101
209,-92,0001 0000 0000 1101
210,104,0010 0000 0000 1101
211,42,0011 0000 0000 1101
212,-28,0100 0000 0000 1101
213,-50,0101 0000 0000 1101
214,10,0110 0000 0000 1101
215,68,0111 0000 0000 1101
216,-34,1000 0000 0000 1101
217,-44,1001 0000 0000 1101
218,50,1010 0000 0000 1101
219,28,1011 0000 0000 1101
220,-68,1100 0000 0000 1101
221,-78,1101 0000 0000 1101
222,84,1110 0000 0000 1101
223,62,1111 0000 0000 1101
224,-74,0000 0000 0000 1110
225,-52,0001 0000 0000 1110
226,60,0010 0000 0000 1110
227,66,0011 0000 0000 1110
228,-64,0100 0000 0000 1110
229,-82,0101 0000 0000 1110
230,82,0110 0000 0000 1110
231,64,0111 0000 0000 1110
232,-90,1000 0000 0000 1110
233,-56,1001 0000 0000 1110
234,90,1010 0000 0000 1110
235,56,1011 0000 0000 1110
236,-52,1100 0000 0000 1110
237,-74,1101 0000 0000 1110
238,80,1110 0000 0000 1110
239,46,1111 0000 0000 1110
240,-86,0000 0000 0000 1111
241,-40,0001 0000 0000 1111
242,40,0010 0000 0000 1111
243,86,0011 0000 0000 1111
244,-68,0100 0000 0000 1111
245,-54,0101 0000 0000 1111
246,78,0110 0000 0000 1111
247,44,0111 0000 0000 1111
248,-50,1000 0000 0000 1111
249,-72,1001 0000 0000 1111
250,58,1010 0000 0000 1111
251,64,1011 0000 0000 1111
252,-64,1100 0000 0000 1111
253,-62,1101 0000 0000 1111
254,60,1110 0000 0000 1111
255,66,1111 0000 0000 1111
